X1	X2	X3	X4	X5	X6	Y1	Y2	Y3	Y4	Y5	Y6	treatByGender	gender	treatment
.148821	.111389	-.093952	-.36671	-2.102316	1.044429	.680743	.593003	1.809842	1.97791	-.283504	1.366173	1	0	0
1.53832	2.014098	2.684291	2.259286	2.436588	1.638495	.730292	1.353557	1.457487	.654844	.33549	.399446	1	0	0
.680933	-.458814	-.718879	-.223645	-1.892166	-.785593	-.067439	-1.310705	-.119563	-.974138	-.545565	-.413209	1	0	0
1.885534	.129899	.497804	1.328396	.541761	2.82342	-.892012	-.807025	.294632	-.308459	-.214246	.193952	1	0	0
.089733	-.414845	1.247753	-.181767	.512701	.972746	.413846	-.336194	.048011	.035219	-.277909	.291261	1	0	0
1.557559	.800704	.913092	1.040303	1.548921	2.129742	-.43305	2.153208	1.859778	.246532	.77951	1.830461	1	0	0
1.570032	-.518757	.46793	.21831	.305558	-.08955	.606746	-.824549	.340936	-.158799	-1.297016	-.942441	1	0	0
-.243484	-.566996	-.087454	2.239889	.267916	.121373	.375095	.05631	-.010373	1.283133	-.807731	-.1677	1	0	0
-.582057	-.842625	1.000851	.256497	.201226	.565561	1.315363	-.081382	2.007792	1.497533	-.438141	.529749	1	0	0
1.381083	.791336	.751926	.146925	-.632885	.70001	.801773	.148482	1.617171	.673402	.374181	2.317319	1	0	0
-1.63982	-.449501	.259519	-.368149	-.101455	.800953	-1.008665	-.838588	-.5587	-1.353017	-1.256084	.229011	1	0	0
1.811135	2.461415	1.567142	1.700355	1.705544	2.085351	1.090044	.818608	-.085368	.825135	-.318226	.499606	1	0	0
2.020243	1.202013	1.157789	1.030273	.442015	1.898248	.791482	.216121	1.05386	-.333699	.88089	1.016269	1	0	0
-.996701	-.045146	-.605887	-.671048	-.728956	.670533	.75664	1.037138	-.049086	-1.036037	-.227118	.036751	1	0	0
.900066	.138765	1.157942	1.339839	.374972	1.686989	-1.78357	-.602505	-.271605	-.818505	-.195295	-.336427	1	0	0
2.122895	1.648893	2.024605	.805232	.885954	.898482	2.201984	.275251	1.082839	.756893	1.152231	.902836	1	0	0
1.34173	.353578	.815126	.47985	-1.245675	-1.530463	-.441358	1.236218	-.466389	-.062778	-1.477777	-2.124471	1	0	0
1.229578	1.066753	.562565	-.631009	1.229339	.854188	1.1781	.7116	.012873	-.716626	.380703	.699915	1	0	0
1.48452	1.48018	.998495	-.315695	-.473878	.228722	.912441	1.362264	.651378	-.095531	.840404	1.760455	1	0	0
.016363	-.875101	-1.00821	-.386794	-.009503	.916959	-.007362	.876773	.376649	-.510242	-.126624	.660083	1	0	0
-.010205	-.279837	.862136	.627297	-.111979	.344882	.575281	.4597	1.473213	1.001432	.703127	.541583	1	0	0
.748994	.310763	1.500348	1.283917	1.783808	1.67998	1.025354	.640515	1.683239	.882572	.066207	1.550342	1	0	0
.030349	-.350229	2.17748	.036754	-.632778	-.431068	.798733	.891377	1.793536	.919683	1.258676	1.394507	1	0	0
-.194466	.032928	-.587619	-.242887	-.413188	-.51076	1.47094	.464832	-.077895	1.093054	-.489124	-.450602	1	0	0
.667622	-.414769	-.463563	.102657	-.580094	-.17851	-1.673771	-2.331972	-.710528	-1.672188	-1.876508	-.865504	1	0	0
1.502772	1.935885	1.409191	1.00427	1.530316	1.303357	2.191549	2.215343	2.827629	.457843	1.157779	.956835	1	0	0
.84003	1.26848	1.621603	.779924	-.277832	.962359	.204322	1.354107	-.204316	2.4398	1.40558	1.468845	1	0	0
.952981	-.227352	.409865	2.270323	.81893	1.895065	.088552	-1.70621	-.546912	.249152	-.940929	.39584	1	0	0
1.509169	1.792671	2.136932	.749441	.417591	.520542	2.366888	1.776644	2.85576	2.262692	.395976	2.115317	1	0	0
-.493099	-1.345663	-.454362	-.35891	-.284892	1.358801	.781434	.454773	.430016	.966977	1.357115	.539018	1	0	0
-.819919	-.802085	-1.538653	.282	.649211	.002111	.607057	.677776	-.735526	1.459184	.803009	.90416	1	0	0
-.910857	-.178726	-.504941	-.709422	-.367457	.526991	-1.629255	-2.922383	-.847892	-.19546	-.752688	-.361068	1	0	0
-.243057	.698348	-.638421	.593494	.067067	1.403972	-.664534	-1.352051	-1.023801	-1.830536	-1.917333	.136822	1	0	0
.68378	-1.553832	.363285	-.224977	-.70613	.792537	.198045	-.540515	-.700528	-1.081317	-1.460165	-1.357195	1	0	0
.98637	.687723	1.084787	1.462821	.091494	.952827	1.164249	.753369	1.313175	.860689	-.264529	.887868	1	0	0
-1.197983	-1.867646	-1.622435	.014848	-.660973	.209702	-.414425	.517941	-.016941	-.289065	-.554155	.805401	1	0	0
-.253197	-1.569767	-.7244	.444686	-.429011	-.720896	-.188977	-1.553237	-.98407	.321694	-.608366	-.652805	1	0	0
